id,mentioned_id,mentioned_screen_name
991686033669488640,1016063701,Umit_Burcundan
991102360733745157,332696636,UVeraTuna
991476607251460096,822215679726100480,POTUS
991476607251460096,818910970567344128,VP
991476607251460096,1074480192,SenTedCruz
991476607251460096,359403242,kelliwardaz
991476607251460096,22456513,RealErinCruz
991476607251460096,248113252,RealOmarNavarro
991512017667174400,267856525,michelleisawolf
991703421207154688,897619242,PinnacleSports
991721349449158656,235897523,SomeGuyInOKC
991721349449158656,879785909490786305,soldierofyah
991738613242228738,843146690957840384,ArgeAmed12
991745345100148737,878277273014743041,abrmali
991743899788967936,738153522277945344,dawg_lb
991743899788967936,822215679726100480,POTUS
991743899788967936,66369181,DeptofDefense
991735954561011713,14260960,JustinTrudeau
991735954561011713,12848262,TorontoStar
991735954561011713,2809959174,fordnation
991735954561011713,256360738,AndrewScheer
991747353467146243,240454812,GenFlynn
991722327904677888,2903166449,MrEdTrain
991241865297997824,69231187,UNHumanRights
991755298154139648,878352770985807873,ChienTranquille
991717019887329280,41778159,geertwilderspvv
991431269513756672,14947962,cityofokc
991431269513756672,460785613,HouseDemsOK
991431269513756672,2249415781,oksenategop
991766413063933952,2320114243,LarryClegg1
991766413063933952,16324055,JohnDRobinson
991766413063933952,462679202,Rockinchick69
991766413063933952,21607132,jamespavlick
991766413063933952,318062168,fantomseeker
991766413063933952,46302096,JTMYVA
991766413063933952,25073877,realDonaldTrump
991766413063933952,988573326376427520,SecPompeo
991769072277782529,3379498318,onlyinyourtweet
991769072277782529,28135495,ministrymaker
991726590445826048,16537989,FOXTV
991588605998043136,721788853288308736,tasconalvarez
991788034726260736,10228272,YouTube
991746850184224768,6751502,labour
991773192611090433,4658003200,34u8zzfM5ok9Zxw
991796880404369409,10083862,Cevahir
991797923322134528,10083862,Cevahir
991804155122536449,127941629,GrrrGraphics
991806419862212608,878352770985807873,ChienTranquille
991803876612374528,894032684078518278,AdelAmini4
991803876612374528,1077181999,ThomasVLinge
991660576567906304,930765613882138624,jusapolasturias
991299358388781056,705039372429750272,coalition
991852604115357696,2177097448,Grizzly_AdamsSC
991858255747002369,1029468187,GoyCrazy
991752334626586624,169686021,kanyewest
991831850413973504,25073877,realDonaldTrump
991844747386937344,712457190896902144,BettySwernofsky
991844747386937344,738153522277945344,dawg_lb
991844747386937344,1090537537,cleared37Joseph
991844747386937344,612129565,WhoWolfe
991844747386937344,706004243942080512,BriteEyes8
991844747386937344,4691005178,MelissaHoughto6
991844747386937344,1650825374,Queen_Jane001
991844747386937344,79083934,Joanie513
991844747386937344,70964034,PJSOWE
991896988026359808,20685982,boyscouts
991876091907207168,783214,Twitter
870197439260708864,869288921422643200,21_ozlem_
870197439260708864,856918210305826816,eledagli
869976622916653057,10228272,YouTube
870166174914555904,862784095373414400,FredLope129
870166174914555904,217749896,MLP_officiel
870137999513747458,552180085,mavimarmaratr
870229701834485760,829715112890159104,MarkACollett
870245936844460032,21030699,Heute_at
870207909623463936,326003773,osimsek_herkul
870185351259852801,570054085,NewG56
